267|251|17|6/13/00
316|321|18|6/14/00
227|283|15|6/15/00
367|266|17|6/16/00
359|281|19|6/17/00
314|249|19|6/18/00
332|291|20|6/19/00
297|269|17|6/20/00
308|252|19|6/21/00
364|323|16|6/22/00
332|303|20|6/23/00
399|261|18|6/24/00
549|286|21|6/25/00
403|297|17|6/26/00
502|262|18|6/27/00
490|253|16|6/28/00
227|264|19|6/29/00
125|211|20|6/30/00
179|261|22|7/1/00
153|253|20|7/2/00
162|238|22|7/3/00
187|235|20|7/4/00
147|266|22|7/6/00
159|228|22|7/7/00
168|228|22|7/8/00
200|259|25|7/9/00
200|290|21|7/10/00
154|220|21|7/11/00
210|190|19|7/12/00
369|173|21|7/13/00
357|143|17|7/14/00
240|179|21|7/15/00
212|157|19|7/16/00
166|144|19|7/17/00
181|138|19|7/18/00
237|155|19|7/19/00
205|175|20|7/20/00
208|122|18|7/21/00
199|149|19|7/22/00
188|129|14|7/23/00
206|107|15|7/24/00
172|147|12|7/25/00
176|162|15|7/26/00
191|128|19|7/27/00
257|220|17|7/28/00
176|261|14|7/29/00
147|146|16|7/30/00
106|164|13|7/31/00
95|125|17|8/1/00
106|111|16|8/2/00
